No.,캠퍼스,과목명,개설학과,대표강사,강의실 / 강의시간
102,서울,DEBATE IN BUSINESS,경영경제대학경영학부(서울),갈라스,"310관 513호 <강의실> 월7,8"
103,서울,DEBATE IN BUSINESS,경영경제대학경영학부(서울),갈라스,"310관 819호 <강의실> 화5,6"
104,서울,DEBATE IN BUSINESS,경영경제대학경영학부(서울),갈라스,"310관 819호 <강의실> 화7,8"
105,서울,DEBATE IN BUSINESS,경영경제대학경영학부(서울),갈라스,"310관 804호 <강의실> 수5,6"
106,서울,DEBATE IN BUSINESS,경영경제대학경영학부(서울),갈라스,"310관 722호 <강의실> 수7,8"
107,서울,DEBATE IN BUSINESS,경영경제대학경영학부(서울),갈라스,"310관 803호 <강의실> 목5,6"
108,서울,DEBATE IN BUSINESS,경영경제대학경영학부(서울),갈라스,"310관 802호 <강의실> 목1,2"
109,서울,DEBATE IN BUSINESS,경영경제대학경영학부(서울),갈라스,"310관 803호 <강의실> 목7,8"
110,서울,DEBATE IN BUSINESS,경영경제대학경영학부(서울),갈라스,"310관 802호 <강의실> 화1,2"
111,서울,Data Analysis & Decision Making,경영전문대학원Global MBA,이승준,310관 902호 <첨단강의실> 수(10:30~11:45) / 수(12:00~13:15)
112,서울,Effective Communication,경영경제대학지식경영학부,허준영,"310관 305호 <강의실> 수11,12,13"
113,서울,Effective Communication,경영경제대학지식경영학부,조희정,"310관 611호 <강의실> 월11,12,13"
114,서울,Effective Communication,경영경제대학지식경영학부,조희정,"310관 505호 <강의실> 수11,12,13"
115,서울,Effective Communication,경영경제대학지식경영학부,임동진,"310관 611호 <강의실> 금11,12,13"
116,서울,FIXED INCOME SECURITIES,경영경제대학경영학부(서울),김동현,310관 921호 <강의실> 화(13:30~14:45) / 목(13:30~14:45)
117,서울,FIXED INCOME SECURITIES,경영경제대학경영학부(서울),김동현,310관 921호 <강의실> 화(15:00~16:15) / 목(15:00~16:15)
118,서울,FTA와 글로벌가치사슬전략,경영경제대학국제물류 학과,신호근,"310관 305호 <강의실> 금1,2,3"
119,서울,GF 참세미나(2),경영경제대학경영학부(서울),설홍기,310관 926호 <강의실> 화4
120,서울,GF 참세미나(4),경영경제대학경영학부(서울),김동현,310관 925호 <강의실> 목4
121,서울,ICT와 경영,창의ICT공과대학융합교양학부,한진영,"310관 620호 <강의실> 목7,8"
122,서울,IT 비즈니스 창업,경영전문대학원CAU-Leader MBA,최명길,310관 901호 <첨단강의실> 토(09:00~10:15) / 토(10:30~11:45)
123,서울,IT개론,소프트웨어대학소프트웨어학부,김명호,"310관 726호 <강의실> 수9,10,11"
124,서울,IT인프라보안,보안대학원산업융합보안학과,이재우,310관 801호 <강의실> 토(13:00~14:20)
125,서울,MEMS개론,공과대학기계공학부,김종민,"310관 312호 <강의실> 월2 / 수1,2"
126,서울,MEMS개론,공과대학기계공학부,신영의,"310관 519호 <강의실> 월2 / 수1,2"
127,서울,Marketing,경영전문대학원Global MBA,서현석,310관 903호 <첨단강의실> 수(15:00~16:15) / 수(16:30~17:45)
128,서울,ProjectX 기초설계,창의ICT공과대학융합공학부,임영훈,"310관 730호 <강의실> 목6,7,8,9"
129,서울,SCM과 오퍼레이션혁신,경영전문대학원CAU-Leader MBA,박정수,310관 902호 <첨단강의실> 토(12:00~13:15) / 토(13:30~14:45)
130,서울,SOCIOLOGY OF KOREA,대학(전체),윤병희,"310관 B603호 <대형강의실> 금4,5,6"
131,서울,SW 프로그래밍Ⅱ,경영경제대학산업보안학과,신동천,"310관 512호  화5,6 / 목4,5,6"
132,서울,SW커리어세미나(1),소프트웨어대학소프트웨어학부,강윤정,310관 622호 <강의실> 월6
133,서울,Strategic Management,경영전문대학원Global MBA,이시영,310관 904호 <첨단강의실> 화(15:00~16:15) / 화(16:30~17:45)
134,서울,VALUATION-THEORY & PRACTICE,경영전문대학원Global MBA,박수연,310관 902호 <첨단강의실> 목(13:30~14:45) / 목(15:00~16:15)
135,서울,VARIABLE TOPICS IN KOREAN CULTURE,대학(전체),이성호,"310관 B603호 <대형강의실> 목7,8,9"
136,서울,VR로 구현하는 공감,창의ICT공과대학융합교양학부,이현정,"310관 726호 <강의실> 목5,6"
137,서울,e비즈니스,경영경제대학경영학부(서울),이다니엘,310관 704호 <강의실> 화(12:00~13:15) / 목(12:00~13:15)
138,서울,e비즈니스,경영경제대학경영학부(서울),이다니엘,310관 603호 <강의실> 화(13:30~14:45) / 목(13:30~14:45)
139,서울,강구조설계,공과대학사회기반시스템공학부,장경호,"207관(봅스트홀) 504호 <건설환경공학 컴퓨터실습실> / 310관 417호 <강의실> 목3,5,6,7 / 목8,9"
140,서울,개인정보 활용과 보호,대학원융합보안학과,이기혁,"310관 512호  목11,12,13"
141,서울,거시경제론,경영경제대학경영학부(서울),허석균,"310관 818호 <강의실> 목4,5,6"
142,서울,건강한삶,대학(전체),정병욱,"310관 B601호 <대형강의실> 수7,8,9"
143,서울,건강한삶,대학(전체),이무열,"310관 921호 <강의실> 토6,7,8"
144,서울,건설계획및시공,공과대학사회기반시스템공학부,김경주,"310관 422호 <강의실> 화3 / 목3,4"
145,서울,건설계획및시공,공과대학사회기반시스템공학부,김경주,"310관 321호 <강의실> 화5,6 / 목6"
146,서울,건설관리의이해,공과대학건축학부,양동종,"310관 523호 <강의실> 월7,8,9"
147,서울,건설플랜트설계입문,공과대학사회기반시스템공학부,조성호,"310관 418호 <강의실> 목3,5,6"
148,서울,건축공간론,공과대학건축학부,최윤경,"208관(제2공학관) 101호 <강의실> / 310관 523호 <강의실> 수3 / 월3,4"
149,서울,건축공학설계입문,공과대학건축학부,김창완,"310관 521호 <강의실> 목5,6,7,8,9,10"
150,서울,건축시스템설계,공과대학건축학부,이은택,"310관 422호 <강의실> 월7,8,9"
151,서울,건축시스템설계,공과대학건축학부,박진철,"310관 422호 <강의실> 수1,2,3"
152,서울,건축심리와행태,공과대학건축학부,윤승현,"310관 521호 <강의실> 목1,2,3"
153,서울,건축의이해,공과대학건축학부,황세원,"310관 521호 <강의실> 수1,2,3"
154,서울,게임아트와 내러티브,창의ICT공과대학융합교양학부,이민하,"310관 620호 <강의실> 월5,6"
155,서울,결혼과가족,대학(전체),김예리,"310관 620호 <강의실> 금5,6"
156,서울,결혼과가족,대학(전체),김예리,"310관 620호 <강의실> 금7,8"
157,서울,경영경제 소프트웨어 프로그래밍,경영경제대학경영학부(서울),최명길,310관 809호 <컴퓨터실습실-3> 화(10:30~11:45) / 목(10:30~11:45)
158,서울,경영경제 소프트웨어 프로그래밍,경영경제대학경영학부(서울),남호헌,"310관 607호 <컴퓨터실습실-1> 화1,2,3"
159,서울,경영경제 소프트웨어 프로그래밍,경영경제대학경영학부(서울),신종섭,"310관 717호 <컴퓨터실습실-2> 수4,5,6"
160,서울,경영경제 소프트웨어 프로그래밍,경영경제대학경영학부(서울),서동욱,"310관 607호 <컴퓨터실습실-1> 수4,5,6"
161,서울,경영경제 소프트웨어 프로그래밍,경영경제대학경영학부(서울),서동욱,"310관 607호 <컴퓨터실습실-1> 수7,8,9"
162,서울,경영경제 소프트웨어 프로그래밍,경영경제대학경영학부(서울),배진,"310관 501호 <광고홍보학과 실습실> 목4,5,6"
163,서울,경영경제 소프트웨어 프로그래밍,경영경제대학경영학부(서울),배진,"310관 717호 <컴퓨터실습실-2> 목7,8,9"
164,서울,경영경제 소프트웨어 프로그래밍,경영경제대학경영학부(서울),김정훈,"310관 501호 <광고홍보학과 실습실> 목7,8,9"
165,서울,경영경제학을 위한 매트랩 프로그래밍,경영경제대학경제학부(서울),최용옥,310관 607호 <컴퓨터실습실-1> 월(09:00~10:15) / 수(09:00~10:15)
166,서울,경영과학,경영경제대학경영학부(서울),안병석,310관 926호 <강의실> 월(12:00~13:15) / 수(12:00~13:15)
167,서울,경영과학,경영경제대학경영학부(서울),박세권,310관 611호 <강의실> 화(09:00~10:15) / 목(09:00~10:15)
168,서울,경영과학,경영경제대학경영학부(서울),손지윤,310관 928호 <강의실> 화(10:30~11:45) / 목(10:30~11:45)
169,서울,경영과학,경영경제대학경영학부(서울),윤지호,310관 612호 <강의실> 화(13:30~14:45) / 목(13:30~14:45)
170,서울,경영과학,경영경제대학경영학부(서울),박해철,310관 928호 <강의실> 월(10:30~11:45) / 수(10:30~11:45)
171,서울,경영과학,경영경제대학경영학부(서울),이승준,310관 804호 <강의실> 화(13:30~14:45) / 목(13:30~14:45)
172,서울,경영사례분석및개발Ⅰ,경영경제대학지식경영학부,임성준,"310관 920호 <강의실> 화11,12,13"
173,서울,경영사례분석및개발Ⅰ,경영경제대학지식경영학부,이한희,"310관 721호 <강의실> 월11,12,13"
174,서울,경영사례분석및개발Ⅰ,경영경제대학지식경영학부,남호헌,"310관 305호 <강의실> 목11,12,13"
175,서울,경영사례분석및개발Ⅰ,경영경제대학지식경영학부,박응석,"310관 310호 <강의실> 토1,2,3"
176,서울,경영사례연구,경영전문대학원CAU-Leader MBA,임병하,310관 901호 <첨단강의실> 화(19:00~20:15) / 화(20:30~21:45)
177,서울,경영의사결정 실습,창의ICT공과대학융합교양학부,한진영,"310관 717호 <컴퓨터실습실-2> 화3,4"
178,서울,경영전략,경영전문대학원CAU-Leader MBA,박찬희,310관 904호 <첨단강의실> 금(19:00~20:15) / 금(20:30~21:45)
179,서울,경영전략(캡스톤디자인),경영경제대학경영학부(서울),이시영,310관 513호 <강의실> 화(13:30~14:45) / 목(13:30~14:45)
180,서울,경영전략(캡스톤디자인),경영경제대학경영학부(서울),임성준,310관 926호 <강의실> 월(10:30~11:45) / 수(10:30~11:45)
181,서울,경영전략(캡스톤디자인),경영경제대학경영학부(서울),박찬희,"310관 505호 <강의실> 금1,2,3"
182,서울,경영전략(캡스톤디자인),경영경제대학경영학부(서울),이경재,"310관 505호 <강의실> 금7,8,9"
183,서울,경영전략(캡스톤디자인),경영경제대학경영학부(서울),최창범,"310관 605호 <강의실> 금1,2,3"
184,서울,경영전략(캡스톤디자인),경영경제대학경영학부(서울),이경재,"310관 605호 <강의실> 월1,2,3"
185,서울,경영정보시스템,경영경제대학지식경영학부,임병하,"310관 802호 <강의실> 수11,12,13"
186,서울,경영정보시스템,경영경제대학지식경영학부,김태하,"310관 505호 <강의실> 금11,12,13"
187,서울,경영정보시스템,경영경제대학지식경영학부,홍성완,"310관 605호 <강의실> 토5,6,7"
188,서울,경영정보시스템,경영경제대학지식경영학부,김성근,"310관 310호 <강의실> 월11,12,13"
189,서울,경영정보시스템,경영경제대학경영학부(서울),임병하,310관 802호 <강의실> 월(13:30~14:45) / 수(13:30~14:45)
190,서울,경영정보시스템,경영경제대학경영학부(서울),임병하,310관 802호 <강의실> 월(15:00~16:15) / 수(15:00~16:15)
191,서울,경영정보시스템,경영경제대학경영학부(서울),홍일유,310관 801호 <강의실> 월(13:30~14:45) / 수(13:30~14:45)
192,서울,경영정보시스템,경영경제대학경영학부(서울),홍일유,310관 801호 <강의실> 월(15:00~16:15) / 수(15:00~16:15)
193,서울,경영정보시스템,경영전문대학원CAU-Leader MBA,임병하,310관 901호 <첨단강의실> 목(19:00~20:15) / 목(20:30~21:45)
194,서울,경영통계학,경영경제대학경영학부(서울),박세권,310관 611호 <강의실> 화(10:30~11:45) / 목(10:30~11:45)
195,서울,경영통계학,경영경제대학경영학부(서울),김영일,"310관 305호 <강의실> 화4,5,6"
196,서울,경영통계학,경영경제대학경영학부(서울),김영일,"310관 920호 <강의실> 수4,5,6"
197,서울,경영통계학,경영경제대학경영학부(서울),김정연,"310관 818호 <강의실> 월4,5,6"
198,서울,경영통계학,경영경제대학경영학부(서울),김종현,"310관 818호 <강의실> 화7,8,9"
199,서울,경영통계학,경영경제대학경영학부(서울),김종현,"310관 412호 <강의실> 수7,8,9"
200,서울,경영통계학,경영경제대학경영학부(서울),김정연,"310관 721호 <강의실> 화7,8,9"
201,서울,경영학원론,경영경제대학경영학부(서울),안봉현,"310관 605호 <강의실> 월4,5,6"
202,서울,경영학원론,경영경제대학경영학부(서울),안봉현,"310관 605호 <강의실> 월7,8,9"
203,서울,경영학원론,경영경제대학경영학부(서울),정태규,"310관 605호 <강의실> 수7,8,9"
204,서울,경영학원론,경영경제대학경영학부(서울),이정민,"310관 412호 <강의실> 수4,5,6"
205,서울,경영학원론,경영경제대학경영학부(서울),이정민,"310관 311호 <강의실> 목4,5,6"
206,서울,경영학원론,경영경제대학경영학부(서울),최진숙,"310관 305호 <강의실> 화1,2,3"
207,서울,경영학원론,경영경제대학경영학부(서울),이창구,"310관 505호 <강의실> 수7,8,9"
208,서울,경영학원론,경영경제대학경영학부(서울),김정연,"310관 721호 <강의실> 화4,5,6"
209,서울,경영학원론,경영경제대학경영학부(서울),이덕희,"310관 818호 <강의실> 화4,5,6"
210,서울,경영학원론,경영경제대학경영학부(서울),이덕희,"310관 310호 <강의실> 화7,8,9"
211,서울,경영학원론,경영경제대학국제물류 학과,유동호,"310관 605호 <강의실> 수1,2,3"
212,서울,경제변동론,경영경제대학경제학부(서울),정혁,310관 925호 <강의실> 화(15:00~16:15) / 목(15:00~16:15)
213,서울,경제성장론,경영경제대학경제학부(서울),김지욱,310관 925호 <강의실> 월(10:30~11:45) / 수(10:30~11:45)
214,서울,경제성장론,경영경제대학경제학부(서울),이광훈,310관 722호 <강의실> 월(13:30~14:45) / 수(13:30~14:45)
215,서울,경제수학,경영경제대학경제학부(서울),이상규,310관 701호 <강의실> 월(10:30~11:45) / 수(10:30~11:45)
216,서울,경제수학,경영경제대학경제학부(서울),이상규,310관 503호 <강의실> 월(15:00~16:15) / 수(15:00~16:15)
217,서울,경제수학,경영경제대학경제학부(서울),송정석,310관 926호 <강의실> 화(09:00~10:15) / 목(09:00~10:15)
218,서울,경제수학,경영경제대학경제학부(서울),김배근,310관 928호 <강의실> 화(15:00~16:15) / 목(15:00~16:15)
219,서울,경제와사회,대학(전체),여미영,"310관 B603호(수1,2,3)"
